Qmag,Qdur,RQmag,RSmag,STdur,STslope,Tmag,Tdur,insHR,annScore
-89,104,196,231,48,.0416666666666667,-130,168,93.167701863354,86
-16,104,230,273,132,.00757575757575758,18,136,98.0392156862745,86
1,116,201,278,92,.0652173913043478,1,176,93.167701863354,86
-28,92,309,284,80,.1125,71,180,92.5925925925926,86
-1,80,259,280,104,.759615384615385,0,224,84.7457627118644,86
114,116,281,355,112,.133928571428571,84,196,78.125,86
-8,140,213,278,80,.15,42,204,81.9672131147541,86
0,128,215,265,68,.117647058823529,62,216,77.720207253886,86
-1,108,211,304,92,.130434782608696,-19,156,106.382978723404,86
63,76,156,241,80,.1125,41,144,122.950819672131,86
73,92,180,258,72,.138888888888889,43,144,120,86
60,80,213,297,48,.104166666666667,64,176,109.489051094891,86
24,72,220,295,72,.152777777777778,53,192,100.671140939597,86
-3,92,223,302,100,.31,63,164,98.0392156862745,86
11,84,314,386,100,.21,56,152,102.040816326531,86
3,100,213,268,92,-.0869565217391304,-5,120,100.671140939597,86
35,104,216,270,88,.295454545454545,70,120,111.111111111111,86
-9,132,263,333,80,.25,93,172,99.3377483443709,86
68,96,159,229,112,.0892857142857143,43,144,109.489051094891,86
39,92,174,257,20,-.2,22,152,111.940298507463,86
-1,48,173,196,132,-.053030303030303,31,100,115.384615384615,86
-17,136,208,262,84,.154761904761905,28,192,82.4175824175824,86
-24,112,187,229,68,.191176470588235,40,204,83.3333333333333,86
-7,116,212,250,96,.104166666666667,10,192,81.9672131147541,86
30,80,210,258,96,.0729166666666667,25,172,94.3396226415094,86
27,112,265,329,72,.416666666666667,34,200,104.166666666667,86
49,96,209,248,140,-.0357142857142857,15,108,111.111111111111,86
52,92,229,292,100,.03,27,152,107.913669064748,86
42,108,200,307,48,.270833333333333,52,204,100.671140939597,86
8,128,196,261,152,.0131578947368421,11,116,100,86
18,136,253,350,80,.1375,85,172,90.3614457831325,86
-3,140,242,319,64,.203125,44,188,89.8203592814371,86
-7,124,260,381,36,.0555555555555555,123,180,109.489051094891,86
50,96,231,332,76,.131578947368421,45,196,105.633802816901,86
-44,76,306,501,64,1.0625,181,212,105.633802816901,86
-53,100,392,529,84,.0357142857142857,102,180,102.739726027397,86
-39,104,329,473,84,.880952380952381,110,188,108.695652173913,86
43,80,195,419,100,.77,116,172,100.671140939597,86
1,128,255,443,112,.571428571428571,146,172,81.9672131147541,86
5,116,308,487,72,.416666666666667,93,204,100,86
-27,92,255,313,120,.025,15,152,104.166666666667,85
4,80,241,304,56,-.0535714285714286,89,168,96.1538461538462,85
-36,136,195,233,84,.0714285714285714,-63,148,92.0245398773006,83
-1,124,281,315,140,.285714285714286,37,140,92.5925925925926,83
7,92,218,276,104,.105769230769231,27,156,104.166666666667,83
73,92,175,234,96,-.09375,68,136,115.384615384615,83
44,84,171,258,36,.25,54,184,111.940298507463,83
53,84,193,261,68,.132352941176471,52,168,110.294117647059,83
0,84,255,330,60,.0666666666666667,51,164,115.384615384615,83
50,92,169,244,68,.161764705882353,30,160,118.110236220472,83
25,112,240,319,56,.214285714285714,120,188,106.382978723404,83
31,96,237,324,92,.0108695652173913,20,140,113.636363636364,83
-18,76,275,385,72,.152777777777778,60,168,102.040816326531,83
-11,64,219,306,72,.722222222222222,61,196,104.166666666667,83
7,136,203,272,76,.0263157894736842,59,188,85.2272727272727,83
5,148,233,304,120,.00833333333333333,43,148,78.5340314136126,83
-133,68,249,345,64,-.3125,-288,144,100,83
10,64,343,284,96,-.0729166666666667,43,168,92.0245398773006,83
6,96,211,278,92,.206521739130435,30,176,92.5925925925926,83
-17,64,179,236,72,.291666666666667,48,172,105.633802816901,83
31,100,160,197,112,.169642857142857,61,116,107.913669064748,83
47,88,206,265,156,.0128205128205128,5,104,108.695652173913,83
22,100,215,276,140,.0857142857142857,-6,108,108.695652173913,83
29,104,224,276,64,.03125,14,188,104.895104895105,83
50,92,218,261,92,.0326086956521739,21,156,113.636363636364,83
42,92,171,235,56,.0357142857142857,38,168,116.279069767442,83
14,88,223,303,48,-.354166666666667,12,212,105.633802816901,83
40,92,202,254,112,.0803571428571429,22,148,107.913669064748,83
-9,108,205,299,140,.142857142857143,65,120,103.448275862069,83
38,96,213,280,124,.225806451612903,31,168,103.448275862069,83
-5,80,189,266,132,.0378787878787879,44,140,99.3377483443709,83
2,112,280,348,104,.115384615384615,35,156,102.040816326531,83
35,60,239,325,124,.419354838709677,38,152,99.3377483443709,83
7,88,319,388,96,.114583333333333,13,152,110.294117647059,83
-38,84,217,312,100,.09,36,144,101.351351351351,83
0,112,264,373,88,.125,37,172,104.166666666667,83
63,72,249,344,96,.1875,46,164,104.895104895105,83
10,116,196,291,100,.37,58,144,120.967741935484,83
61,84,251,355,48,.291666666666667,99,180,104.895104895105,83
4,100,254,362,100,.22,36,160,97.4025974025974,83
-18,120,255,335,76,.25,41,176,94.9367088607595,83
34,76,278,373,56,.0178571428571429,40,148,123.96694214876,83
-8,108,267,342,116,.267241379310345,59,200,92.0245398773006,83
41,116,259,354,104,.269230769230769,63,156,93.167701863354,83
100,72,62,92,108,-.148148148148148,14,136,123.96694214876,83
-14,124,75,423,52,.173076923076923,148,136,93.167701863354,83
-31,64,378,-16,64,-2.140625,-35,112,67.5675675675676,83
1,96,242,6,148,-.777027027027027,48,148,59.2885375494071,83
-15,100,256,291,164,.121951219512195,49,152,100.671140939597,78
-6,88,307,331,52,-.596153846153846,115,232,111.940298507463,78
-15,148,240,281,68,0,7,228,81.0810810810811,78
